Date,Cow_ID,Breed,Milk_Yield_kg,Feed_Intake_kg,Lactation_Stage,Health_Score,Temperature_C,Humidity_%,Milk_Price_USD_per_kg,Revenue_USD,Feed_Cost_USD,Profit_USD
2021-01-01,Cow_33,Guernsey,18.0,26.2,Late,75,7.6,83.0,0.45,8.1,6.55,1.55
2021-01-01,Cow_34,Jersey,22.44,19.83,Mid,85,7.6,83.0,0.45,10.1,4.96,5.14
2021-01-01,Cow_35,Brown Swiss,9.94,22.07,Early,86,7.6,83.0,0.45,4.47,5.52,-1.05
2021-01-01,Cow_36,Holstein,17.5,14.77,Early,98,7.6,83.0,0.45,7.88,3.69,4.19
2021-01-01,Cow_37,Holstein,25.77,22.83,Late,91,7.6,83.0,0.45,11.6,5.71,5.89
2021-01-01,Cow_38,Holstein,21.49,18.22,Mid,87,7.6,83.0,0.45,9.67,4.55,5.12
2021-01-01,Cow_39,Brown Swiss,17.86,20.9,Late,86,7.6,83.0,0.45,8.04,5.22,2.82
2021-01-01,Cow_40,Brown Swiss,13.85,22.31,Mid,87,7.6,83.0,0.45,6.23,5.58,0.65
2021-01-01,Cow_41,Brown Swiss,32.9,16.02,Mid,90,7.6,83.0,0.45,14.8,4.0,10.8
2021-01-01,Cow_42,Brown Swiss,17.6,20.86,Early,87,7.6,83.0,0.45,7.92,5.21,2.71
2021-01-01,Cow_43,Jersey,17.38,18.39,Late,95,7.6,83.0,0.45,7.82,4.6,3.22
2021-01-01,Cow_44,Jersey,22.89,15.09,Late,80,7.6,83.0,0.45,10.3,3.77,6.53
2021-01-01,Cow_45,Holstein,13.29,20.5,Early,99,7.6,83.0,0.45,5.98,5.12,0.86
2021-01-01,Cow_46,Holstein,23.81,25.34,Mid,78,7.6,83.0,0.45,10.71,6.33,4.38
2021-01-01,Cow_47,Jersey,17.52,24.85,Early,75,7.6,83.0,0.45,7.88,6.21,1.67
2021-01-01,Cow_48,Brown Swiss,25.53,16.88,Early,72,7.6,83.0,0.45,11.49,4.22,7.27
2021-01-01,Cow_49,Holstein,18.93,21.19,Mid,99,7.6,83.0,0.45,8.52,5.3,3.22
2021-01-01,Cow_50,Guernsey,28.03,18.89,Early,93,7.6,83.0,0.45,12.61,4.72,7.89
2021-01-01,Cow_51,Jersey,29.06,18.61,Late,71,7.6,83.0,0.45,13.08,4.65,8.43
2021-01-01,Cow_52,Holstein,11.11,18.27,Mid,78,7.6,83.0,0.45,5.0,4.57,0.43
2021-01-01,Cow_53,Jersey,18.4,18.58,Early,93,7.6,83.0,0.45,8.28,4.64,3.64
2021-01-01,Cow_54,Jersey,22.71,24.79,Mid,84,7.6,83.0,0.45,10.22,6.2,4.02
2021-01-01,Cow_55,Jersey,14.99,20.51,Late,81,7.6,83.0,0.45,6.75,5.13,1.62
2021-01-01,Cow_56,Jersey,22.16,16.64,Mid,83,7.6,83.0,0.45,9.97,4.16,5.81
2021-01-01,Cow_57,Jersey,20.29,22.43,Early,74,7.6,83.0,0.45,9.13,5.61,3.52
2021-01-01,Cow_58,Holstein,18.91,16.5,Early,87,7.6,83.0,0.45,8.51,4.12,4.39
2021-01-01,Cow_59,Guernsey,19.93,16.12,Late,74,7.6,83.0,0.45,8.97,4.03,4.94
2021-01-01,Cow_60,Holstein,19.61,16.32,Late,88,7.6,83.0,0.45,8.82,4.08,4.74
2021-01-01,Cow_61,Holstein,26.98,18.04,Late,98,7.6,83.0,0.45,12.14,4.51,7.63
2021-01-01,Cow_62,Holstein,25.63,25.21,Early,76,7.6,83.0,0.45,11.53,6.3,5.23
2021-01-01,Cow_63,Jersey,15.71,18.94,Late,78,7.6,83.0,0.45,7.07,4.74,2.33
2021-01-01,Cow_64,Brown Swiss,28.08,19.36,Early,73,7.6,83.0,0.45,12.64,4.84,7.8
2021-01-01,Cow_65,Holstein,22.67,22.13,Mid,98,7.6,83.0,0.45,10.2,5.53,4.67
2021-01-01,Cow_66,Holstein,24.2,17.21,Early,97,7.6,83.0,0.45,10.89,4.3,6.59
2021-01-01,Cow_67,Guernsey,17.39,23.82,Mid,98,7.6,83.0,0.45,7.83,5.96,1.87
2021-01-01,Cow_68,Brown Swiss,23.73,15.65,Early,80,7.6,83.0,0.45,10.68,3.91,6.77
2021-01-01,Cow_69,Holstein,16.75,19.09,Mid,93,7.6,83.0,0.45,7.54,4.77,2.77
2021-01-01,Cow_70,Holstein,28.3,17.78,Mid,87,7.6,83.0,0.45,12.74,4.45,8.29
2021-01-01,Cow_71,Brown Swiss,16.34,20.53,Mid,84,7.6,83.0,0.45,7.35,5.13,2.22
2021-01-01,Cow_72,Brown Swiss,15.0,18.96,Early,84,7.6,83.0,0.45,6.75,4.74,2.01
2021-01-01,Cow_73,Jersey,19.85,22.38,Late,96,7.6,83.0,0.45,8.93,5.59,3.34
2021-01-01,Cow_74,Guernsey,18.59,27.01,Late,84,7.6,83.0,0.45,8.37,6.75,1.62
2021-01-01,Cow_75,Holstein,22.75,19.24,Late,94,7.6,83.0,0.45,10.24,4.81,5.43
2021-01-01,Cow_76,Guernsey,12.78,16.67,Early,70,7.6,83.0,0.45,5.75,4.17,1.58
2021-01-01,Cow_77,Holstein,17.64,22.71,Mid,74,7.6,83.0,0.45,7.94,5.68,2.26
2021-01-01,Cow_78,Jersey,16.68,16.72,Early,71,7.6,83.0,0.45,7.51,4.18,3.33
2021-01-01,Cow_79,Guernsey,29.4,18.14,Early,88,7.6,83.0,0.45,13.23,4.54,8.69
2021-01-01,Cow_80,Brown Swiss,24.49,15.93,Mid,99,7.6,83.0,0.45,11.02,3.98,7.04
2021-01-01,Cow_81,Guernsey,23.91,21.88,Mid,94,7.6,83.0,0.45,10.76,5.47,5.29
2021-01-01,Cow_82,Holstein,25.12,15.54,Early,83,7.6,83.0,0.45,11.3,3.88,7.42
2021-01-01,Cow_83,Jersey,18.68,19.36,Early,93,7.6,83.0,0.45,8.41,4.84,3.57
2021-01-01,Cow_84,Holstein,22.86,26.11,Early,91,7.6,83.0,0.45,10.29,6.53,3.76
2021-01-01,Cow_85,Holstein,18.25,17.4,Late,94,7.6,83.0,0.45,8.21,4.35,3.86
2021-01-01,Cow_86,Guernsey,26.53,22.87,Late,99,7.6,83.0,0.45,11.94,5.72,6.22
2021-01-01,Cow_87,Guernsey,13.59,15.11,Mid,75,7.6,83.0,0.45,6.12,3.78,2.34
2021-01-01,Cow_88,Guernsey,14.11,19.42,Mid,89,7.6,83.0,0.45,6.35,4.86,1.49
2021-01-01,Cow_89,Guernsey,22.91,20.69,Late,90,7.6,83.0,0.45,10.31,5.17,5.14
2021-01-01,Cow_90,Guernsey,28.68,18.85,Mid,87,7.6,83.0,0.45,12.91,4.71,8.2
2021-01-01,Cow_91,Jersey,26.39,20.6,Late,79,7.6,83.0,0.45,11.88,5.15,6.73
2021-01-01,Cow_92,Jersey,19.11,20.37,Late,81,7.6,83.0,0.45,8.6,5.09,3.51
2021-01-01,Cow_93,Guernsey,25.71,18.72,Early,78,7.6,83.0,0.45,11.57,4.68,6.89
2021-01-01,Cow_94,Brown Swiss,23.12,20.17,Early,92,7.6,83.0,0.45,10.4,5.04,5.36
2021-01-01,Cow_95,Holstein,26.35,19.58,Mid,87,7.6,83.0,0.45,11.86,4.89,6.97
2021-01-01,Cow_96,Brown Swiss,15.53,19.81,Late,70,7.6,83.0,0.45,6.99,4.95,2.04
2021-01-01,Cow_97,Holstein,23.15,20.55,Late,74,7.6,83.0,0.45,10.42,5.14,5.28
2021-01-01,Cow_98,Brown Swiss,26.85,15.84,Late,98,7.6,83.0,0.45,12.08,3.96,8.12
2021-01-01,Cow_99,Brown Swiss,16.53,27.07,Early,95,7.6,83.0,0.45,7.44,6.77,0.67
2021-01-01,Cow_100,Guernsey,19.69,20.82,Late,86,7.6,83.0,0.45,8.86,5.21,3.65
2021-01-02,Cow_1,Jersey,23.85,22.05,Mid,99,8.6,73.5,0.45,10.73,5.51,5.22
2021-01-02,Cow_2,Brown Swiss,21.48,24.27,Mid,90,8.6,73.5,0.45,9.67,6.07,3.6
2021-01-02,Cow_3,Jersey,24.78,19.19,Late,89,8.6,73.5,0.45,11.15,4.8,6.35
2021-01-02,Cow_4,Jersey,18.84,20.47,Late,84,8.6,73.5,0.45,8.48,5.12,3.36
2021-01-02,Cow_5,Guernsey,27.35,21.23,Late,84,8.6,73.5,0.45,12.31,5.31,7.0
2021-01-02,Cow_6,Brown Swiss,20.1,19.1,Early,85,8.6,73.5,0.45,9.05,4.78,4.27
2021-01-02,Cow_7,Holstein,25.25,17.07,Mid,71,8.6,73.5,0.45,11.36,4.27,7.09
2021-01-02,Cow_8,Jersey,18.7,14.94,Mid,88,8.6,73.5,0.45,8.41,3.73,4.68
2021-01-02,Cow_9,Guernsey,18.67,23.33,Early,90,8.6,73.5,0.45,8.4,5.83,2.57
2021-01-02,Cow_10,Guernsey,14.42,20.55,Early,82,8.6,73.5,0.45,6.49,5.14,1.35
2021-01-02,Cow_11,Guernsey,21.31,15.19,Late,88,8.6,73.5,0.45,9.59,3.8,5.79
2021-01-02,Cow_12,Jersey,19.19,16.47,Early,89,8.6,73.5,0.45,8.64,4.12,4.52
2021-01-02,Cow_13,Guernsey,12.47,22.19,Early,71,8.6,73.5,0.45,5.61,5.55,0.06
2021-01-02,Cow_14,Guernsey,21.01,16.52,Mid,84,8.6,73.5,0.45,9.45,4.13,5.32
2021-01-02,Cow_15,Brown Swiss,23.4,19.14,Early,72,8.6,73.5,0.45,10.53,4.79,5.74
2021-01-02,Cow_16,Jersey,19.66,16.28,Early,75,8.6,73.5,0.45,8.85,4.07,4.78
2021-01-02,Cow_17,Brown Swiss,28.02,19.75,Early,95,8.6,73.5,0.45,12.61,4.94,7.67
2021-01-02,Cow_18,Jersey,22.35,18.73,Late,91,8.6,73.5,0.45,10.06,4.68,5.38
2021-01-02,Cow_19,Brown Swiss,21.2,18.33,Early,98,8.6,73.5,0.45,9.54,4.58,4.96
2021-01-02,Cow_20,Brown Swiss,24.87,25.67,Early,95,8.6,73.5,0.45,11.19,6.42,4.77
2021-01-02,Cow_21,Holstein,21.67,25.27,Early,77,8.6,73.5,0.45,9.75,6.32,3.43
2021-01-02,Cow_22,Guernsey,19.23,22.45,Early,87,8.6,73.5,0.45,8.65,5.61,3.04
2021-01-02,Cow_23,Brown Swiss,26.8,21.19,Late,72,8.6,73.5,0.45,12.06,5.3,6.76
2021-01-02,Cow_24,Guernsey,29.58,14.89,Mid,72,8.6,73.5,0.45,13.31,3.72,9.59
2021-01-02,Cow_25,Jersey,21.23,19.03,Early,75,8.6,73.5,0.45,9.55,4.76,4.79
2021-01-02,Cow_26,Guernsey,34.38,15.53,Early,89,8.6,73.5,0.45,15.47,3.88,11.59
2021-01-02,Cow_27,Guernsey,24.59,12.9,Mid,91,8.6,73.5,0.45,11.07,3.23,7.84
2021-01-02,Cow_28,Brown Swiss,22.64,15.31,Late,73,8.6,73.5,0.45,10.19,3.83,6.36
2021-01-02,Cow_29,Brown Swiss,23.6,20.77,Early,77,8.6,73.5,0.45,10.62,5.19,5.43
2021-01-02,Cow_30,Jersey,24.87,25.12,Late,82,8.6,73.5,0.45,11.19,6.28,4.91
2021-01-02,Cow_31,Holstein,29.6,23.98,Mid,78,8.6,73.5,0.45,13.32,6.0,7.32
2021-01-02,Cow_32,Brown Swiss,23.22,21.33,Early,80,8.6,73.5,0.45,10.45,5.33,5.12
2021-01-02,Cow_33,Guernsey,23.72,14.85,Late,81,8.6,73.5,0.45,10.67,3.71,6.96
2021-01-02,Cow_34,Jersey,17.94,20.17,Early,98,8.6,73.5,0.45,8.07,5.04,3.03
2021-01-02,Cow_35,Brown Swiss,25.46,18.07,Early,83,8.6,73.5,0.45,11.46,4.52,6.94
2021-01-02,Cow_36,Holstein,16.44,21.95,Early,95,8.6,73.5,0.45,7.4,5.49,1.91
2021-01-02,Cow_37,Holstein,18.08,23.21,Late,97,8.6,73.5,0.45,8.14,5.8,2.34
2021-01-02,Cow_38,Holstein,23.78,22.84,Late,91,8.6,73.5,0.45,10.7,5.71,4.99
2021-01-02,Cow_39,Brown Swiss,23.98,19.67,Mid,98,8.6,73.5,0.45,10.79,4.92,5.87
2021-01-02,Cow_40,Brown Swiss,24.15,21.73,Mid,90,8.6,73.5,0.45,10.87,5.43,5.44
2021-01-02,Cow_41,Brown Swiss,20.16,20.39,Late,91,8.6,73.5,0.45,9.07,5.1,3.97
2021-01-02,Cow_42,Brown Swiss,23.36,20.07,Mid,80,8.6,73.5,0.45,10.51,5.02,5.49
2021-01-02,Cow_43,Jersey,18.12,22.71,Mid,98,8.6,73.5,0.45,8.15,5.68,2.47
2021-01-02,Cow_44,Jersey,21.36,15.74,Mid,82,8.6,73.5,0.45,9.61,3.94,5.67
2021-01-02,Cow_45,Holstein,24.39,17.38,Early,71,8.6,73.5,0.45,10.98,4.34,6.64
2021-01-02,Cow_46,Holstein,21.42,20.29,Mid,94,8.6,73.5,0.45,9.64,5.07,4.57
2021-01-02,Cow_47,Jersey,24.94,24.4,Late,99,8.6,73.5,0.45,11.22,6.1,5.12
2021-01-02,Cow_48,Brown Swiss,20.45,19.79,Late,85,8.6,73.5,0.45,9.2,4.95,4.25
2021-01-02,Cow_49,Holstein,17.66,18.14,Mid,84,8.6,73.5,0.45,7.95,4.54,3.41
2021-01-02,Cow_50,Guernsey,23.16,16.71,Late,70,8.6,73.5,0.45,10.42,4.18,6.24
2021-01-02,Cow_51,Jersey,25.52,16.21,Mid,78,8.6,73.5,0.45,11.48,4.05,7.43
2021-01-02,Cow_52,Holstein,20.31,14.16,Early,73,8.6,73.5,0.45,9.14,3.54,5.6
2021-01-02,Cow_53,Jersey,14.17,23.68,Mid,87,8.6,73.5,0.45,6.38,5.92,0.46
2021-01-02,Cow_54,Jersey,18.74,23.28,Late,91,8.6,73.5,0.45,8.43,5.82,2.61
2021-01-02,Cow_55,Jersey,18.53,22.83,Mid,80,8.6,73.5,0.45,8.34,5.71,2.63
2021-01-02,Cow_56,Jersey,29.42,20.25,Late,83,8.6,73.5,0.45,13.24,5.06,8.18
2021-01-02,Cow_57,Jersey,27.73,16.91,Late,73,8.6,73.5,0.45,12.48,4.23,8.25
2021-01-02,Cow_58,Holstein,20.66,21.2,Early,80,8.6,73.5,0.45,9.3,5.3,4.0
2021-01-02,Cow_59,Guernsey,21.85,17.03,Early,76,8.6,73.5,0.45,9.83,4.26,5.57
2021-01-02,Cow_60,Holstein,18.38,19.68,Mid,89,8.6,73.5,0.45,8.27,4.92,3.35
2021-01-02,Cow_61,Holstein,25.85,24.82,Early,82,8.6,73.5,0.45,11.63,6.21,5.42
2021-01-02,Cow_62,Holstein,22.14,22.83,Late,79,8.6,73.5,0.45,9.96,5.71,4.25
2021-01-02,Cow_63,Jersey,20.14,18.29,Mid,97,8.6,73.5,0.45,9.06,4.57,4.49
2021-01-02,Cow_64,Brown Swiss,22.07,27.25,Late,73,8.6,73.5,0.45,9.93,6.81,3.12
2021-01-02,Cow_65,Holstein,28.21,15.83,Mid,80,8.6,73.5,0.45,12.69,3.96,8.73
2021-01-02,Cow_66,Holstein,27.25,16.41,Early,71,8.6,73.5,0.45,12.26,4.1,8.16
2021-01-02,Cow_67,Guernsey,20.41,21.57,Late,82,8.6,73.5,0.45,9.18,5.39,3.79
2021-01-02,Cow_68,Brown Swiss,18.42,19.72,Late,92,8.6,73.5,0.45,8.29,4.93,3.36
2021-01-02,Cow_69,Holstein,17.36,21.16,Mid,97,8.6,73.5,0.45,7.81,5.29,2.52
2021-01-02,Cow_70,Holstein,23.0,21.31,Late,74,8.6,73.5,0.45,10.35,5.33,5.02
2021-01-02,Cow_71,Brown Swiss,23.1,20.36,Late,81,8.6,73.5,0.45,10.4,5.09,5.31
2021-01-02,Cow_72,Brown Swiss,27.24,17.98,Mid,80,8.6,73.5,0.45,12.26,4.5,7.76
2021-01-02,Cow_73,Jersey,19.26,23.36,Early,79,8.6,73.5,0.45,8.67,5.84,2.83
2021-01-02,Cow_74,Guernsey,21.45,19.42,Late,73,8.6,73.5,0.45,9.65,4.86,4.79
2021-01-02,Cow_75,Holstein,29.35,18.59,Early,83,8.6,73.5,0.45,13.21,4.65,8.56
2021-01-02,Cow_76,Guernsey,23.5,17.43,Mid,74,8.6,73.5,0.45,10.58,4.36,6.22
2021-01-02,Cow_77,Holstein,12.95,20.17,Mid,75,8.6,73.5,0.45,5.83,5.04,0.79
2021-01-02,Cow_78,Jersey,23.6,22.98,Late,82,8.6,73.5,0.45,10.62,5.75,4.87
2021-01-02,Cow_79,Guernsey,24.01,16.68,Mid,81,8.6,73.5,0.45,10.8,4.17,6.63
2021-01-02,Cow_80,Brown Swiss,20.85,24.31,Mid,85,8.6,73.5,0.45,9.38,6.08,3.3
2021-01-02,Cow_81,Guernsey,17.39,19.23,Early,89,8.6,73.5,0.45,7.83,4.81,3.02
2021-01-02,Cow_82,Holstein,17.99,23.5,Late,72,8.6,73.5,0.45,8.1,5.88,2.22
2021-01-02,Cow_83,Jersey,18.93,19.35,Early,80,8.6,73.5,0.45,8.52,4.84,3.68
2021-01-02,Cow_84,Holstein,22.16,22.2,Late,73,8.6,73.5,0.45,9.97,5.55,4.42
2021-01-02,Cow_85,Holstein,21.98,24.71,Early,98,8.6,73.5,0.45,9.89,6.18,3.71
2021-01-02,Cow_86,Guernsey,16.24,18.09,Early,88,8.6,73.5,0.45,7.31,4.52,2.79
2021-01-02,Cow_87,Guernsey,13.59,20.89,Early,72,8.6,73.5,0.45,6.12,5.22,0.9
2021-01-02,Cow_88,Guernsey,19.86,19.4,Late,80,8.6,73.5,0.45,8.94,4.85,4.09
2021-01-02,Cow_89,Guernsey,22.86,23.35,Mid,80,8.6,73.5,0.45,10.29,5.84,4.45
2021-01-02,Cow_90,Guernsey,23.84,22.48,Late,70,8.6,73.5,0.45,10.73,5.62,5.11
2021-01-02,Cow_91,Jersey,19.82,17.84,Mid,79,8.6,73.5,0.45,8.92,4.46,4.46
2021-01-02,Cow_92,Jersey,28.82,21.68,Late,95,8.6,73.5,0.45,12.97,5.42,7.55
2021-01-02,Cow_93,Guernsey,20.41,15.47,Early,90,8.6,73.5,0.45,9.18,3.87,5.31
2021-01-02,Cow_94,Brown Swiss,25.3,16.99,Mid,73,8.6,73.5,0.45,11.38,4.25,7.13
2021-01-02,Cow_95,Holstein,20.37,23.01,Mid,82,8.6,73.5,0.45,9.17,5.75,3.42
2021-01-02,Cow_96,Brown Swiss,17.29,24.28,Late,71,8.6,73.5,0.45,7.78,6.07,1.71
2021-01-02,Cow_97,Holstein,24.38,19.99,Early,99,8.6,73.5,0.45,10.97,5.0,5.97
2021-01-02,Cow_98,Brown Swiss,17.06,15.24,Early,72,8.6,73.5,0.45,7.68,3.81,3.87
2021-01-02,Cow_99,Brown Swiss,19.22,17.34,Early,73,8.6,73.5,0.45,8.65,4.33,4.32
2021-01-02,Cow_100,Guernsey,7.41,21.49,Mid,93,8.6,73.5,0.45,3.33,5.37,-2.04
2021-01-03,Cow_1,Jersey,30.51,19.36,Late,70,18.8,63.4,0.45,13.73,4.84,8.89
2021-01-03,Cow_2,Brown Swiss,25.77,21.3,Early,71,18.8,63.4,0.45,11.6,5.33,6.27
2021-01-03,Cow_3,Jersey,27.05,18.73,Early,94,18.8,63.4,0.45,12.17,4.68,7.49
2021-01-03,Cow_4,Jersey,17.07,21.53,Late,80,18.8,63.4,0.45,7.68,5.38,2.3
2021-01-03,Cow_5,Guernsey,22.0,19.45,Mid,72,18.8,63.4,0.45,9.9,4.86,5.04
2021-01-03,Cow_6,Brown Swiss,22.12,18.96,Mid,76,18.8,63.4,0.45,9.95,4.74,5.21
2021-01-03,Cow_7,Holstein,26.48,23.25,Early,84,18.8,63.4,0.45,11.92,5.81,6.11
2021-01-03,Cow_8,Jersey,28.76,21.13,Early,77,18.8,63.4,0.45,12.94,5.28,7.66
2021-01-03,Cow_9,Guernsey,24.99,16.88,Late,99,18.8,63.4,0.45,11.25,4.22,7.03
2021-01-03,Cow_10,Guernsey,24.47,15.32,Mid,91,18.8,63.4,0.45,11.01,3.83,7.18
2021-01-03,Cow_11,Guernsey,32.97,19.24,Early,76,18.8,63.4,0.45,14.84,4.81,10.03
2021-01-03,Cow_12,Jersey,13.31,19.57,Mid,73,18.8,63.4,0.45,5.99,4.89,1.1
2021-01-03,Cow_13,Guernsey,9.73,21.88,Mid,91,18.8,63.4,0.45,4.38,5.47,-1.09
2021-01-03,Cow_14,Guernsey,26.42,20.22,Mid,96,18.8,63.4,0.45,11.89,5.05,6.84
2021-01-03,Cow_15,Brown Swiss,24.12,20.54,Early,82,18.8,63.4,0.45,10.85,5.13,5.72
2021-01-03,Cow_16,Jersey,30.63,18.1,Late,84,18.8,63.4,0.45,13.78,4.53,9.25
2021-01-03,Cow_17,Brown Swiss,24.51,17.09,Mid,84,18.8,63.4,0.45,11.03,4.27,6.76
2021-01-03,Cow_18,Jersey,21.87,20.71,Mid,86,18.8,63.4,0.45,9.84,5.18,4.66
2021-01-03,Cow_19,Brown Swiss,23.66,18.31,Late,73,18.8,63.4,0.45,10.65,4.58,6.07
2021-01-03,Cow_20,Brown Swiss,16.11,22.31,Late,81,18.8,63.4,0.45,7.25,5.58,1.67
2021-01-03,Cow_21,Holstein,25.42,25.5,Late,72,18.8,63.4,0.45,11.44,6.38,5.06
2021-01-03,Cow_22,Guernsey,26.78,20.68,Mid,88,18.8,63.4,0.45,12.05,5.17,6.88
2021-01-03,Cow_23,Brown Swiss,20.83,23.03,Early,85,18.8,63.4,0.45,9.37,5.76,3.61
2021-01-03,Cow_24,Guernsey,22.93,22.08,Late,86,18.8,63.4,0.45,10.32,5.52,4.8
2021-01-03,Cow_25,Jersey,18.92,20.41,Early,81,18.8,63.4,0.45,8.51,5.1,3.41
2021-01-03,Cow_26,Guernsey,17.33,24.69,Mid,74,18.8,63.4,0.45,7.8,6.17,1.63
2021-01-03,Cow_27,Guernsey,23.03,24.1,Mid,93,18.8,63.4,0.45,10.36,6.03,4.33
2021-01-03,Cow_28,Brown Swiss,31.52,25.14,Mid,81,18.8,63.4,0.45,14.18,6.29,7.89
2021-01-03,Cow_29,Brown Swiss,19.43,21.83,Mid,76,18.8,63.4,0.45,8.74,5.46,3.28
2021-01-03,Cow_30,Jersey,25.18,22.18,Early,73,18.8,63.4,0.45,11.33,5.54,5.79
2021-01-03,Cow_31,Holstein,27.09,21.74,Early,83,18.8,63.4,0.45,12.19,5.43,6.76
2021-01-03,Cow_32,Brown Swiss,32.19,18.4,Early,87,18.8,63.4,0.45,14.49,4.6,9.89
2021-01-03,Cow_33,Guernsey,25.69,18.43,Mid,78,18.8,63.4,0.45,11.56,4.61,6.95
2021-01-03,Cow_34,Jersey,27.64,18.56,Mid,84,18.8,63.4,0.45,12.44,4.64,7.8
2021-01-03,Cow_35,Brown Swiss,24.11,20.81,Mid,71,18.8,63.4,0.45,10.85,5.2,5.65
2021-01-03,Cow_36,Holstein,13.66,29.19,Mid,99,18.8,63.4,0.45,6.15,7.3,-1.15
2021-01-03,Cow_37,Holstein,21.77,20.37,Early,89,18.8,63.4,0.45,9.8,5.09,4.71
2021-01-03,Cow_38,Holstein,17.54,23.11,Early,94,18.8,63.4,0.45,7.89,5.78,2.11
2021-01-03,Cow_39,Brown Swiss,22.19,17.66,Mid,98,18.8,63.4,0.45,9.99,4.42,5.57
2021-01-03,Cow_40,Brown Swiss,14.7,17.72,Late,94,18.8,63.4,0.45,6.62,4.43,2.19
2021-01-03,Cow_41,Brown Swiss,23.88,19.29,Early,79,18.8,63.4,0.45,10.75,4.82,5.93
2021-01-03,Cow_42,Brown Swiss,25.73,21.5,Early,96,18.8,63.4,0.45,11.58,5.38,6.2
2021-01-03,Cow_43,Jersey,27.09,17.75,Early,85,18.8,63.4,0.45,12.19,4.44,7.75
2021-01-03,Cow_44,Jersey,22.36,16.64,Mid,72,18.8,63.4,0.45,10.06,4.16,5.9
